Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Total_Duration
IndiGo,Banglore,Delhi,non-stop,3897,24,3,2.833333333333333
Air India,Kolkata,Banglore,2 stops,7662,1,5,7.416666666666667
Jet Airways,Delhi,Cochin,2 stops,13882,9,6,19.0
IndiGo,Kolkata,Banglore,1 stop,6218,12,5,5.416666666666667
IndiGo,Banglore,Delhi,1 stop,13302,1,3,4.75
SpiceJet,Kolkata,Banglore,non-stop,3873,24,6,2.4166666666666665
Jet Airways,Banglore,Delhi,1 stop,11087,12,3,15.5
Jet Airways,Banglore,Delhi,1 stop,22270,1,3,21.08333333333333
Jet Airways,Banglore,Delhi,1 stop,11087,12,3,25.5
Multiple carriers,Delhi,Cochin,1 stop,8625,27,5,7.833333333333333
Air India,Delhi,Cochin,1 stop,8907,1,6,13.25
IndiGo,Kolkata,Banglore,non-stop,4174,18,4,2.583333333333333
Air India,Chennai,Kolkata,non-stop,4667,24,6,2.25
Jet Airways,Kolkata,Banglore,1 stop,9663,9,5,12.166666666666666
IndiGo,Kolkata,Banglore,non-stop,4804,24,4,2.583333333333333
Air India,Delhi,Cochin,2 stops,14011,3,3,26.58333333333333
SpiceJet,Delhi,Cochin,1 stop,5830,15,4,4.5
Jet Airways,Delhi,Cochin,1 stop,10262,12,6,22.58333333333333
Air India,Delhi,Cochin,2 stops,13381,12,6,23.0
Jet Airways,Delhi,Cochin,1 stop,12898,27,5,20.58333333333333
GoAir,Delhi,Cochin,1 stop,19495,6,3,5.166666666666667
Air India,Banglore,Delhi,1 stop,6955,21,3,15.333333333333334
IndiGo,Banglore,Delhi,non-stop,3943,3,4,2.833333333333333
IndiGo,Banglore,Delhi,non-stop,4823,1,5,2.9166666666666665
Jet Airways,Kolkata,Banglore,1 stop,7757,6,5,13.333333333333334
Jet Airways,Delhi,Cochin,2 stops,13292,9,6,15.166666666666666
IndiGo,Delhi,Cochin,1 stop,8238,1,6,5.75
GoAir,Delhi,Cochin,1 stop,7682,15,5,5.916666666666667
Vistara,Banglore,Delhi,non-stop,4668,18,6,2.833333333333333
Vistara,Chennai,Kolkata,non-stop,3687,15,6,2.25
Vistara,Chennai,Kolkata,non-stop,3687,18,6,2.25
Air India,Kolkata,Banglore,2 stops,13227,1,5,13.416666666666666
IndiGo,Banglore,Delhi,non-stop,4423,6,4,2.833333333333333
Jet Airways,Delhi,Cochin,2 stops,10919,15,6,22.0
Jet Airways,Delhi,Cochin,1 stop,12373,18,5,5.5
IndiGo,Delhi,Cochin,1 stop,5894,27,6,10.416666666666666
SpiceJet,Kolkata,Banglore,1 stop,4649,21,5,5.25
Air India,Kolkata,Banglore,non-stop,6245,18,5,2.5
Jet Airways,Banglore,Delhi,1 stop,19225,6,3,6.25
Jet Airways,Delhi,Cochin,1 stop,14924,3,6,11.916666666666666
Multiple carriers,Delhi,Cochin,1 stop,9646,21,5,11.083333333333334
Air India,Banglore,Delhi,1 stop,8714,15,3,8.5
Jet Airways,Delhi,Cochin,1 stop,12373,18,5,22.08333333333333
Air Asia,Banglore,Delhi,non-stop,3383,6,5,2.75
Multiple carriers,Delhi,Cochin,1 stop,13062,21,3,12.0
SpiceJet,Banglore,Delhi,non-stop,3527,24,3,2.833333333333333
IndiGo,Banglore,Delhi,non-stop,3943,27,5,2.833333333333333
Air India,Chennai,Kolkata,non-stop,4667,3,5,2.25
Air India,Kolkata,Banglore,1 stop,6117,15,5,16.083333333333332
Jet Airways,Delhi,Cochin,2 stops,11150,27,6,19.916666666666668
Jet Airways,Delhi,Cochin,non-stop,7202,9,3,3.25
Jet Airways,Kolkata,Banglore,1 stop,12121,1,5,25.33333333333333
IndiGo,Banglore,Delhi,non-stop,4377,24,3,2.833333333333333
IndiGo,Banglore,Delhi,non-stop,3943,18,6,3.0
Air Asia,Banglore,Delhi,non-stop,4483,3,4,2.833333333333333
Jet Airways,Kolkata,Banglore,1 stop,14231,24,3,16.25
Air India,Banglore,Delhi,2 stops,17345,1,3,15.083333333333334
Vistara,Chennai,Kolkata,non-stop,7414,6,3,2.25
Multiple carriers,Delhi,Cochin,1 stop,8073,6,5,6.5
Vistara,Mumbai,Hyderabad,1 stop,12395,6,3,25.08333333333333
Air India,Kolkata,Banglore,1 stop,8366,6,6,12.416666666666666
Air India,Delhi,Cochin,1 stop,5117,3,4,27.33333333333333
Multiple carriers,Delhi,Cochin,1 stop,12524,3,6,10.25
IndiGo,Delhi,Cochin,1 stop,7191,15,5,10.5
Vistara,Chennai,Kolkata,non-stop,3687,24,5,2.25
IndiGo,Delhi,Cochin,1 stop,5894,24,6,10.416666666666666
Vistara,Banglore,Delhi,non-stop,5403,24,4,2.833333333333333
Air India,Mumbai,Hyderabad,non-stop,3625,6,5,1.5
Air India,Delhi,Cochin,2 stops,10861,21,5,13.333333333333334
IndiGo,Chennai,Kolkata,non-stop,6297,12,3,2.25
Jet Airways,Mumbai,Hyderabad,non-stop,5678,1,6,1.4166666666666667
Jet Airways,Banglore,Delhi,1 stop,9134,9,3,26.5
Multiple carriers,Delhi,Cochin,1 stop,10791,24,6,7.333333333333333
Jet Airways,Delhi,Cochin,2 stops,12819,24,6,13.5
IndiGo,Delhi,Cochin,1 stop,6893,21,3,5.0
Vistara,Banglore,Delhi,non-stop,7240,9,3,2.75
GoAir,Banglore,Delhi,non-stop,3898,3,4,2.833333333333333
IndiGo,Mumbai,Hyderabad,non-stop,4049,3,4,1.5
Jet Airways,Delhi,Cochin,1 stop,10262,15,6,19.08333333333333
SpiceJet,Chennai,Kolkata,non-stop,3332,21,3,2.25
Jet Airways,Kolkata,Banglore,1 stop,10844,9,6,14.833333333333334
Jet Airways,Banglore,Delhi,non-stop,7229,24,3,2.6666666666666665
Jet Airways,Kolkata,Banglore,1 stop,13941,6,5,22.166666666666668
IndiGo,Delhi,Cochin,1 stop,5894,27,6,9.583333333333334
Multiple carriers,Delhi,Cochin,1 stop,10197,18,5,10.0
Jet Airways,Banglore,Delhi,1 stop,13712,6,3,21.33333333333333
IndiGo,Delhi,Cochin,1 stop,5636,24,6,5.416666666666667
Jet Airways,Delhi,Cochin,2 stops,13014,6,6,18.75
Jet Airways,Kolkata,Banglore,1 stop,7064,1,4,12.333333333333334
