Airline,Source,Destination,Total_Stops,Day,Month,Total_Duration
IndiGo,Banglore,Delhi,0,24,3,2.8333333333333335
Air India,Kolkata,Banglore,2,1,5,7.416666666666667
Jet Airways,Delhi,Cochin,2,9,6,19.0
IndiGo,Kolkata,Banglore,1,12,5,5.416666666666667
IndiGo,Banglore,Delhi,1,1,3,4.75
SpiceJet,Kolkata,Banglore,0,24,6,2.4166666666666665
Jet Airways,Banglore,Delhi,1,12,3,15.5
Jet Airways,Banglore,Delhi,1,1,3,21.083333333333332
Jet Airways,Banglore,Delhi,1,12,3,25.5
Multiple carriers,Delhi,Cochin,1,27,5,7.833333333333333
Air India,Delhi,Cochin,1,1,6,13.25
IndiGo,Kolkata,Banglore,0,18,4,2.5833333333333335
Air India,Chennai,Kolkata,0,24,6,2.25
Jet Airways,Kolkata,Banglore,1,9,5,12.166666666666666
IndiGo,Kolkata,Banglore,0,24,4,2.5833333333333335
Air India,Delhi,Cochin,2,3,3,26.583333333333332
SpiceJet,Delhi,Cochin,1,15,4,4.5
Jet Airways,Delhi,Cochin,1,12,6,22.583333333333332
Air India,Delhi,Cochin,2,12,6,23.0
Jet Airways,Delhi,Cochin,1,27,5,20.583333333333332
GoAir,Delhi,Cochin,1,6,3,5.166666666666667
Air India,Banglore,Delhi,1,21,3,15.333333333333334
IndiGo,Banglore,Delhi,0,3,4,2.8333333333333335
IndiGo,Banglore,Delhi,0,1,5,2.9166666666666665
Jet Airways,Kolkata,Banglore,1,6,5,13.333333333333334
Jet Airways,Delhi,Cochin,2,9,6,15.166666666666666
IndiGo,Delhi,Cochin,1,1,6,5.75
GoAir,Delhi,Cochin,1,15,5,5.916666666666667
Vistara,Banglore,Delhi,0,18,6,2.8333333333333335
Vistara,Chennai,Kolkata,0,15,6,2.25
Vistara,Chennai,Kolkata,0,18,6,2.25
Air India,Kolkata,Banglore,2,1,5,13.416666666666666
IndiGo,Banglore,Delhi,0,6,4,2.8333333333333335
Jet Airways,Delhi,Cochin,2,15,6,22.0
Jet Airways,Delhi,Cochin,1,18,5,5.5
IndiGo,Delhi,Cochin,1,27,6,10.416666666666666
SpiceJet,Kolkata,Banglore,1,21,5,5.25
Air India,Kolkata,Banglore,0,18,5,2.5
Jet Airways,Banglore,Delhi,1,6,3,6.25
Jet Airways,Delhi,Cochin,1,3,6,11.916666666666666
Multiple carriers,Delhi,Cochin,1,21,5,11.083333333333334
Air India,Banglore,Delhi,1,15,3,8.5
Jet Airways,Delhi,Cochin,1,18,5,22.083333333333332
Air Asia,Banglore,Delhi,0,6,5,2.75
Multiple carriers,Delhi,Cochin,1,21,3,12.0
SpiceJet,Banglore,Delhi,0,24,3,2.8333333333333335
IndiGo,Banglore,Delhi,0,27,5,2.8333333333333335
Air India,Chennai,Kolkata,0,3,5,2.25
Air India,Kolkata,Banglore,1,15,5,16.083333333333332
Jet Airways,Delhi,Cochin,2,27,6,19.916666666666668
Jet Airways,Delhi,Cochin,0,9,3,3.25
Jet Airways,Kolkata,Banglore,1,1,5,25.333333333333332
IndiGo,Banglore,Delhi,0,24,3,2.8333333333333335
IndiGo,Banglore,Delhi,0,18,6,3.0
Air Asia,Banglore,Delhi,0,3,4,2.8333333333333335
Jet Airways,Kolkata,Banglore,1,24,3,16.25
Air India,Banglore,Delhi,2,1,3,15.083333333333334
Vistara,Chennai,Kolkata,0,6,3,2.25
Multiple carriers,Delhi,Cochin,1,6,5,6.5
Vistara,Mumbai,Hyderabad,1,6,3,25.083333333333332
Air India,Kolkata,Banglore,1,6,6,12.416666666666666
Air India,Delhi,Cochin,1,3,4,27.333333333333332
Multiple carriers,Delhi,Cochin,1,3,6,10.25
IndiGo,Delhi,Cochin,1,15,5,10.5
Vistara,Chennai,Kolkata,0,24,5,2.25
IndiGo,Delhi,Cochin,1,24,6,10.416666666666666
Vistara,Banglore,Delhi,0,24,4,2.8333333333333335
Air India,Mumbai,Hyderabad,0,6,5,1.5
Air India,Delhi,Cochin,2,21,5,13.333333333333334
IndiGo,Chennai,Kolkata,0,12,3,2.25
Jet Airways,Mumbai,Hyderabad,0,1,6,1.4166666666666667
Jet Airways,Banglore,Delhi,1,9,3,26.5
Multiple carriers,Delhi,Cochin,1,24,6,7.333333333333333
Jet Airways,Delhi,Cochin,2,24,6,13.5
IndiGo,Delhi,Cochin,1,21,3,5.0
Vistara,Banglore,Delhi,0,9,3,2.75
GoAir,Banglore,Delhi,0,3,4,2.8333333333333335
IndiGo,Mumbai,Hyderabad,0,3,4,1.5
Jet Airways,Delhi,Cochin,1,15,6,19.083333333333332
SpiceJet,Chennai,Kolkata,0,21,3,2.25
Jet Airways,Kolkata,Banglore,1,9,6,14.833333333333334
Jet Airways,Banglore,Delhi,0,24,3,2.6666666666666665
Jet Airways,Kolkata,Banglore,1,6,5,22.166666666666668
IndiGo,Delhi,Cochin,1,27,6,9.583333333333334
Multiple carriers,Delhi,Cochin,1,18,5,10.0
Jet Airways,Banglore,Delhi,1,6,3,21.333333333333332
IndiGo,Delhi,Cochin,1,24,6,5.416666666666667
Jet Airways,Delhi,Cochin,2,6,6,18.75
Jet Airways,Kolkata,Banglore,1,1,4,12.333333333333334
Jet Airways,Kolkata,Banglore,1,24,5,18.0
Multiple carriers,Delhi,Cochin,1,27,5,9.25
Multiple carriers,Delhi,Cochin,1,6,3,11.083333333333334
Jet Airways,Banglore,Delhi,1,12,3,17.5
Air India,Delhi,Cochin,2,6,3,13.333333333333334
Air India,Kolkata,Banglore,0,21,4,2.5833333333333335
IndiGo,Chennai,Kolkata,0,21,6,2.4166666666666665
SpiceJet,Banglore,Delhi,0,15,5,2.6666666666666665
Jet Airways,Banglore,Delhi,0,3,6,3.0
Jet Airways,Mumbai,Hyderabad,0,18,6,1.4166666666666667
Jet Airways,Delhi,Cochin,2,12,6,16.583333333333332
Jet Airways,Kolkata,Banglore,1,15,5,12.333333333333334
Jet Airways,Kolkata,Banglore,1,9,6,12.25
Jet Airways,Delhi,Cochin,1,24,6,7.5
Air India,Kolkata,Banglore,1,12,5,24.0
Air India,Banglore,Delhi,0,1,5,2.75
Jet Airways,Delhi,Cochin,2,18,5,8.916666666666666
Multiple carriers,Delhi,Cochin,1,27,3,7.166666666666667
Multiple carriers,Delhi,Cochin,1,27,3,14.5
Air India,Delhi,Cochin,2,9,5,30.333333333333332
Jet Airways,Delhi,Cochin,2,24,5,19.916666666666668
Jet Airways,Banglore,Delhi,1,18,3,15.0
IndiGo,Banglore,Delhi,0,12,4,2.9166666666666665
Vistara,Kolkata,Banglore,1,12,5,12.75
Jet Airways,Delhi,Cochin,1,6,3,10.166666666666666
GoAir,Delhi,Cochin,1,27,6,5.916666666666667
Multiple carriers,Delhi,Cochin,1,18,5,15.416666666666666
Air India,Delhi,Cochin,1,6,3,16.083333333333332
Multiple carriers,Delhi,Cochin,1,3,3,10.166666666666666
Vistara,Banglore,Delhi,0,12,6,2.6666666666666665
Jet Airways,Delhi,Cochin,1,9,5,11.916666666666666
SpiceJet,Banglore,Delhi,0,9,4,2.6666666666666665
Air India,Mumbai,Hyderabad,0,3,5,1.4166666666666667
Jet Airways,Kolkata,Banglore,1,6,5,14.083333333333334
Air India,Delhi,Cochin,1,1,3,20.25
IndiGo,Chennai,Kolkata,0,12,5,2.4166666666666665
Air India,Kolkata,Banglore,2,21,5,23.166666666666668
Jet Airways,Kolkata,Banglore,1,12,6,18.166666666666668
Jet Airways,Kolkata,Banglore,1,6,5,16.0
IndiGo,Banglore,Delhi,0,24,6,2.8333333333333335
IndiGo,Chennai,Kolkata,0,3,6,2.3333333333333335
Air India,Banglore,Delhi,1,21,3,8.0
Jet Airways,Delhi,Cochin,1,15,6,16.916666666666668
Vistara,Delhi,Cochin,0,12,5,3.1666666666666665
IndiGo,Kolkata,Banglore,0,15,6,2.75
Multiple carriers,Delhi,Cochin,1,21,5,14.0
Jet Airways,Delhi,Cochin,2,18,5,23.833333333333332
Jet Airways,Delhi,Cochin,2,6,6,21.666666666666668
Air India,Delhi,Cochin,2,27,6,21.25
Jet Airways,Banglore,Delhi,0,24,5,2.75
Jet Airways,Delhi,Cochin,1,3,3,10.833333333333334
Multiple carriers,Delhi,Cochin,1,9,4,8.0
GoAir,Kolkata,Banglore,1,6,6,8.25
IndiGo,Delhi,Cochin,1,15,6,5.416666666666667
IndiGo,Delhi,Cochin,1,9,6,8.583333333333334
Multiple carriers,Delhi,Cochin,1,21,5,11.833333333333334
Jet Airways,Kolkata,Banglore,1,21,5,27.583333333333332
Jet Airways,Delhi,Cochin,2,3,6,8.416666666666666
Air India,Delhi,Cochin,1,3,4,20.916666666666668
IndiGo,Delhi,Cochin,1,24,6,4.833333333333333
Multiple carriers,Delhi,Cochin,1,9,6,8.166666666666666
SpiceJet,Kolkata,Banglore,0,3,4,2.3333333333333335
Jet Airways,Delhi,Cochin,2,21,3,24.416666666666668
GoAir,Banglore,Delhi,0,27,6,2.8333333333333335
Jet Airways,Kolkata,Banglore,1,12,5,12.333333333333334
Jet Airways,Kolkata,Banglore,1,24,5,12.25
Air India,Kolkata,Banglore,2,9,5,23.583333333333332
Jet Airways,Delhi,Cochin,2,27,6,16.583333333333332
IndiGo,Banglore,Delhi,0,3,3,2.8333333333333335
Jet Airways,Kolkata,Banglore,1,12,5,25.75
Jet Airways,Delhi,Cochin,1,6,3,26.166666666666668
Jet Airways,Kolkata,Banglore,1,1,5,28.833333333333332
IndiGo,Banglore,Delhi,0,24,3,2.75
Air India,Kolkata,Banglore,1,9,6,25.25
IndiGo,Delhi,Cochin,1,9,5,9.333333333333334
SpiceJet,Delhi,Cochin,1,12,6,4.5
Jet Airways,Delhi,Cochin,1,27,5,15.416666666666666
Air India,Mumbai,Hyderabad,0,3,3,1.5
SpiceJet,Banglore,Delhi,0,21,5,2.6666666666666665
Jet Airways,Delhi,Cochin,1,27,3,9.166666666666666
IndiGo,Banglore,Delhi,0,27,5,2.75
Jet Airways,Delhi,Cochin,1,3,4,22.583333333333332
Air India,Delhi,Cochin,0,18,4,3.0833333333333335
Jet Airways,Kolkata,Banglore,1,9,6,11.5
Multiple carriers,Delhi,Cochin,1,27,6,9.5
Jet Airways,Kolkata,Banglore,1,6,5,12.166666666666666
Jet Airways,Kolkata,Banglore,1,12,6,17.583333333333332
IndiGo,Delhi,Cochin,1,3,4,5.083333333333333
Vistara,Kolkata,Banglore,1,21,5,25.833333333333332
Jet Airways,Kolkata,Banglore,1,6,5,20.0
Multiple carriers,Delhi,Cochin,1,21,5,13.0
Jet Airways,Delhi,Cochin,1,1,6,18.416666666666668
Jet Airways,Mumbai,Hyderabad,0,27,3,1.5
Multiple carriers,Delhi,Cochin,1,15,5,9.5
Jet Airways,Kolkata,Banglore,1,6,5,16.0
IndiGo,Chennai,Kolkata,0,12,5,2.3333333333333335
SpiceJet,Delhi,Cochin,1,24,6,4.5
IndiGo,Delhi,Cochin,1,27,6,5.75
Jet Airways,Kolkata,Banglore,1,6,6,24.166666666666668
IndiGo,Kolkata,Banglore,0,3,6,2.5833333333333335
Air Asia,Banglore,Delhi,0,12,6,2.75
IndiGo,Banglore,Delhi,1,3,3,4.916666666666667
Air India,Delhi,Cochin,1,27,3,25.583333333333332
IndiGo,Delhi,Cochin,1,24,6,6.333333333333333
Jet Airways,Banglore,Delhi,0,27,6,3.0833333333333335
Jet Airways,Banglore,Delhi,1,12,3,18.666666666666668
SpiceJet,Chennai,Kolkata,0,27,6,2.25
Jet Airways,Kolkata,Banglore,1,12,6,12.166666666666666
Jet Airways,Delhi,Cochin,1,24,6,19.416666666666668
Air India,Banglore,Delhi,0,18,3,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,27,3,8.416666666666666
GoAir,Kolkata,Banglore,1,24,3,9.25
Air India,Banglore,Delhi,0,3,6,2.8333333333333335
IndiGo,Delhi,Cochin,0,24,4,3.25
Air India,Delhi,Cochin,0,18,5,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,3,6,12.333333333333334
Jet Airways,Banglore,Delhi,0,18,4,2.9166666666666665
IndiGo,Delhi,Cochin,1,27,3,9.583333333333334
Vistara,Banglore,Delhi,0,27,6,2.5833333333333335
Jet Airways,Kolkata,Banglore,1,21,5,9.5
Jet Airways,Delhi,Cochin,2,18,5,29.333333333333332
IndiGo,Banglore,Delhi,0,12,5,2.9166666666666665
SpiceJet,Delhi,Cochin,1,6,6,5.25
Multiple carriers,Delhi,Cochin,1,6,6,9.083333333333334
Multiple carriers,Delhi,Cochin,1,3,6,10.75
IndiGo,Delhi,Cochin,1,1,6,4.916666666666667
Jet Airways,Mumbai,Hyderabad,0,24,6,1.5
Vistara,Kolkata,Banglore,1,9,6,11.666666666666666
IndiGo,Banglore,Delhi,0,1,6,2.75
Jet Airways,Banglore,Delhi,0,12,5,2.9166666666666665
Multiple carriers,Delhi,Cochin,1,9,6,10.0
Air India,Banglore,Delhi,0,12,4,2.75
Air India,Delhi,Cochin,1,12,6,10.25
Jet Airways,Mumbai,Hyderabad,0,18,3,1.4166666666666667
Multiple carriers,Delhi,Cochin,1,9,5,9.25
Jet Airways,Delhi,Cochin,2,9,6,22.916666666666668
Air India,Delhi,Cochin,2,6,6,28.833333333333332
Jet Airways,Delhi,Cochin,2,3,3,37.416666666666664
IndiGo,Banglore,Delhi,0,27,4,2.8333333333333335
SpiceJet,Mumbai,Hyderabad,0,21,5,1.5
Jet Airways,Mumbai,Hyderabad,0,27,5,1.5
Air India,Kolkata,Banglore,1,24,3,25.666666666666668
Air India,Kolkata,Banglore,0,12,4,2.5833333333333335
Air India,Delhi,Cochin,1,18,5,6.25
Jet Airways,Delhi,Cochin,1,9,3,17.5
IndiGo,Delhi,Cochin,1,1,5,5.75
Air Asia,Kolkata,Banglore,0,1,5,2.5833333333333335
Jet Airways,Delhi,Cochin,1,6,3,25.5
Multiple carriers,Delhi,Cochin,1,18,5,13.916666666666666
IndiGo,Banglore,Delhi,0,15,3,2.9166666666666665
Multiple carriers,Delhi,Cochin,1,24,6,10.25
Jet Airways,Banglore,Delhi,1,18,3,8.666666666666666
Jet Airways,Kolkata,Banglore,1,6,6,5.5
Multiple carriers,Delhi,Cochin,1,9,6,12.0
SpiceJet,Chennai,Kolkata,0,12,6,2.25
Vistara,Chennai,Kolkata,0,18,3,2.25
IndiGo,Banglore,Delhi,0,24,4,2.8333333333333335
Jet Airways,Delhi,Cochin,1,9,6,9.166666666666666
IndiGo,Delhi,Cochin,1,15,5,10.416666666666666
Vistara,Chennai,Kolkata,0,27,6,2.3333333333333335
SpiceJet,Delhi,Cochin,1,6,6,4.5
Vistara,Delhi,Cochin,0,3,3,3.1666666666666665
Air India,Delhi,Cochin,2,1,6,23.5
Jet Airways,Kolkata,Banglore,1,24,5,27.333333333333332
Multiple carriers,Delhi,Cochin,1,27,3,12.583333333333334
Air India,Delhi,Cochin,1,21,3,24.25
SpiceJet,Mumbai,Hyderabad,0,21,3,1.3333333333333333
Air India,Banglore,Delhi,0,9,5,2.75
Jet Airways,Banglore,Delhi,0,21,6,3.0
Jet Airways,Delhi,Cochin,1,6,6,11.0
Jet Airways,Delhi,Cochin,2,3,6,13.5
IndiGo,Banglore,Delhi,0,3,6,2.8333333333333335
GoAir,Banglore,Delhi,0,3,3,2.9166666666666665
IndiGo,Kolkata,Banglore,0,18,3,2.75
IndiGo,Delhi,Cochin,1,9,3,11.25
Air India,Kolkata,Banglore,2,21,5,14.583333333333334
Multiple carriers,Delhi,Cochin,1,21,3,13.916666666666666
IndiGo,Delhi,Cochin,1,24,6,14.083333333333334
Air India,Kolkata,Banglore,1,12,6,15.083333333333334
Air India,Chennai,Kolkata,0,1,3,2.25
Jet Airways,Banglore,Delhi,1,6,3,15.0
Jet Airways,Kolkata,Banglore,1,1,5,12.916666666666666
Multiple carriers,Delhi,Cochin,1,12,6,9.0
Air India,Delhi,Cochin,1,1,6,12.25
Multiple carriers,Delhi,Cochin,2,6,6,7.666666666666667
Air India,Delhi,Cochin,1,9,4,27.333333333333332
IndiGo,Mumbai,Hyderabad,0,15,3,1.4166666666666667
Air India,Mumbai,Hyderabad,0,27,3,1.3333333333333333
SpiceJet,Kolkata,Banglore,1,12,6,5.5
Air India,Delhi,Cochin,1,9,3,11.75
IndiGo,Delhi,Cochin,0,24,6,3.25
Jet Airways,Kolkata,Banglore,1,12,6,24.916666666666668
Air India,Delhi,Cochin,1,3,3,27.333333333333332
Jet Airways,Banglore,Delhi,0,24,5,2.9166666666666665
Jet Airways,Kolkata,Banglore,1,6,6,17.083333333333332
IndiGo,Kolkata,Banglore,0,6,5,2.6666666666666665
Multiple carriers,Delhi,Cochin,1,27,5,8.0
IndiGo,Banglore,Delhi,0,12,5,3.0
Jet Airways,Delhi,Cochin,1,24,6,27.583333333333332
Jet Airways,Delhi,Cochin,1,27,5,7.5
Air India,Banglore,Delhi,2,12,3,22.916666666666668
IndiGo,Delhi,Cochin,1,3,3,8.583333333333334
Air India,Delhi,Cochin,2,21,3,29.916666666666668
Jet Airways,Kolkata,Banglore,1,6,6,22.25
SpiceJet,Mumbai,Hyderabad,0,6,3,1.3333333333333333
IndiGo,Kolkata,Banglore,0,18,5,2.6666666666666665
Jet Airways,Banglore,Delhi,0,6,5,3.0
Jet Airways,Banglore,Delhi,1,21,3,12.166666666666666
SpiceJet,Chennai,Kolkata,0,18,3,2.5833333333333335
Multiple carriers,Delhi,Cochin,1,6,6,11.75
Vistara,Banglore,Delhi,0,9,5,2.5833333333333335
IndiGo,Mumbai,Hyderabad,0,3,5,1.5
Vistara,Banglore,Delhi,0,27,6,2.6666666666666665
Air Asia,Kolkata,Banglore,0,12,5,2.5833333333333335
Jet Airways,Delhi,Cochin,2,6,6,22.916666666666668
IndiGo,Delhi,Cochin,2,9,3,14.666666666666666
Jet Airways,Delhi,Cochin,1,27,3,15.416666666666666
Jet Airways,Banglore,Delhi,1,15,3,7.25
Air India,Delhi,Cochin,2,6,6,20.166666666666668
Air India,Delhi,Cochin,2,6,6,20.75
SpiceJet,Kolkata,Banglore,0,24,4,2.5
Jet Airways,Kolkata,Banglore,1,21,5,23.833333333333332
Jet Airways,Delhi,Cochin,1,3,6,27.0
Jet Airways,Kolkata,Banglore,1,12,6,5.5
IndiGo,Delhi,Cochin,1,3,3,11.833333333333334
IndiGo,Chennai,Kolkata,0,6,3,2.25
Air India,Delhi,Cochin,2,6,6,24.5
SpiceJet,Chennai,Kolkata,0,21,5,2.3333333333333335
Multiple carriers,Delhi,Cochin,1,27,6,6.5
Jet Airways,Delhi,Cochin,1,1,6,20.416666666666668
IndiGo,Kolkata,Banglore,0,15,3,2.5833333333333335
Jet Airways,Banglore,Delhi,0,27,6,2.9166666666666665
Jet Airways,Delhi,Cochin,1,9,6,5.583333333333333
SpiceJet,Kolkata,Banglore,0,15,6,2.5
Jet Airways,Banglore,Delhi,1,12,3,14.75
Jet Airways,Kolkata,Banglore,1,1,5,12.333333333333334
Jet Airways,Delhi,Cochin,1,27,5,25.5
Jet Airways,Delhi,Cochin,1,27,5,5.583333333333333
Multiple carriers,Delhi,Cochin,1,6,3,11.75
IndiGo,Banglore,Delhi,0,24,3,2.9166666666666665
SpiceJet,Kolkata,Banglore,1,24,3,5.666666666666667
Air India,Kolkata,Banglore,1,9,6,4.083333333333333
IndiGo,Delhi,Cochin,1,21,3,8.0
GoAir,Banglore,Delhi,0,9,4,2.75
IndiGo,Kolkata,Banglore,0,12,3,2.6666666666666665
SpiceJet,Banglore,Delhi,0,24,5,2.9166666666666665
Air Asia,Kolkata,Banglore,1,6,5,15.916666666666666
Jet Airways,Delhi,Cochin,2,9,4,23.166666666666668
Jet Airways,Delhi,Cochin,2,3,6,7.333333333333333
Air India,Delhi,Cochin,0,18,6,2.8333333333333335
Jet Airways,Delhi,Cochin,1,27,5,7.5
Jet Airways,Banglore,Delhi,0,15,6,3.0
Multiple carriers,Delhi,Cochin,1,27,5,7.75
Jet Airways,Kolkata,Banglore,1,9,5,25.333333333333332
Multiple carriers,Delhi,Cochin,2,24,6,10.416666666666666
Air India,Delhi,Cochin,2,9,4,30.333333333333332
IndiGo,Kolkata,Banglore,0,6,6,2.5833333333333335
Jet Airways,Delhi,Cochin,1,27,5,9.0
Jet Airways,Delhi,Cochin,2,12,6,15.166666666666666
Air India,Kolkata,Banglore,2,9,6,28.333333333333332
Jet Airways,Banglore,Delhi,0,24,4,3.0
Jet Airways,Banglore,Delhi,0,27,4,2.75
IndiGo,Delhi,Cochin,1,15,5,4.916666666666667
IndiGo,Kolkata,Banglore,0,15,6,2.6666666666666665
Air India,Banglore,Delhi,1,1,3,22.166666666666668
Jet Airways,Delhi,Cochin,1,27,3,10.166666666666666
IndiGo,Banglore,Delhi,0,1,6,2.8333333333333335
IndiGo,Banglore,Delhi,1,18,3,4.333333333333333
Air Asia,Delhi,Cochin,1,21,3,11.0
Jet Airways,Banglore,Delhi,0,21,6,3.0
